Affiliate State Name,PA Nationality,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
Alabama,Afghanistan,,,,,,,,,,,5,
Alabama,Colombia,,,,,,,,,,,,8
Alabama,Dem . Rep . Con ..,,,,,,,1,,1,4,,5
Alabama,Sudan,,,,,,,,,,4,,
Alabama,Syria,,,,,,,,,,8,,
Alaska,Dem . Rep . Con ..,,,,,,7,,,,,,6
Alaska,Sudan,,,8,,,,,,,,,
Arizona,Afghanistan,,8,1,7,,,4,1,10,,5,13
Arizona,Burma,,2,,,8,8,10,,,18,7,45
Arizona,Burundi,,,,,,,,,,,,9
Arizona,Central African ..,,,9,,,,,13,,6,,
Arizona,Colombia,,,,,,,,,,,5,
Arizona,Congo,,1,,,,,,,,,,
Arizona,Dem . Rep . Con ..,8,20,15,1,4,54,45,17,43,64,57,91
Arizona,El Salvador,,,,,4,,,,,,,
Arizona,Eritrea,,1,,,,7,2,1,3,,8,5
Arizona,Ethiopia,,,,,,,,,4,1,,
Arizona,Guatemala,,,7,,,16,,,,,,2
Arizona,Honduras,,,3,,,8,,,,,,
Arizona,Iran,,,,1,,2,2,,7,,,
Arizona,Iraq,,,,,,4,5,,3,4,16,3
Arizona,Mali,,,,,,,,,,,,1
Arizona,Pakistan,,,,,,,,2,,,1,
Arizona,Republic of Sou ..,6,13,22,,,,,,,,,
Arizona,Rwanda,,,,,4,,,,1,,1,
Arizona,Somalia,,1,,,1,9,1,1,,1,1,6
Arizona,Sudan,,10,14,7,10,11,4,8,,4,5,1
Arizona,Syria,13,12,32,7,13,10,5,15,14,7,19,6
Arizona,Venezuela,,,,,,,,,,,,5
Arizona,Zimbabwe,,,,,,,1,,,,,
Arkansas,Colombia,,,,,,,,4,,,,
Arkansas,Dem . Rep . Con ..,,10,,,,17,,,,,,7
Arkansas,Guatemala,,,,,,,,,,,,4
Arkansas,Rwanda,,,1,,,,,,,,,
Arkansas,Syria,,8,,4,4,13,,,,,,
California,Afghanistan,,,,6,1,7,24,79,40,27,32,54
California,Armenia,5,,,4,10,5,,22,26,46,55,14
California,Belarus,,,,,,,,,,,,1
California,Burma,,1,10,5,2,10,,,4,,1,3
California,Central African ..,,,,,5,,,,,,,
California,Colombia,,,,,,,7,,,,,
California,Dem . Rep . Con ..,5,,,,6,1,,2,6,6,23,6
California,El Salvador,3,15,3,,21,16,11,4,11,17,9,12
California,Eritrea,,1,,1,4,,,,,5,,3
California,Guatemala,,13,14,18,21,10,30,18,24,11,19,41
California,Honduras,,4,2,1,1,7,,3,4,,,7
California,Iran,,1,7,1,8,4,6,9,13,10,4,8
California,Iraq,6,7,1,,18,3,1,6,4,4,5,10
California,Libya,,,,,,,,,,,7,
California,Moldova,2,,,12,14,8,7,5,23,9,26,46
California,Pakistan,,,,5,,,,5,,,,
California,Palestine,,,,,,5,,,,,,
California,Russia,,,,,,,,,,4,,
California,Somalia,,,4,,,,,,,2,,9
California,Sudan,,,,,1,6,9,2,,12,2,
California,Syria,15,57,22,33,24,74,49,67,52,22,35,64
California,Uganda,,7,,,,,,,,1,,
California,Ukraine,39,10,4,12,78,,16,16,27,23,43,85
California,Venezuela,,,,,,,,1,2,,,
California,Vietnam,,,,,,,,1,,,,
Colorado,Afghanistan,,4,5,,8,1,24,10,24,2,21,14
Colorado,Burma,1,,4,12,1,16,8,,6,10,8,74
Colorado,Cameroon,,,,,,,,,,,1,
Colorado,Central African ..,,,,,,1,,,1,2,,
Colorado,Dem . Rep . Con ..,,11,5,,7,18,5,7,,22,15,40
Colorado,Djibouti,,,,,,1,,,,,,
Colorado,El Salvador,,3,1,,,,4,,,,,
Colorado,Eritrea,,,,,1,,,,2,,,4
Colorado,Ethiopia,,5,,,,,,,4,4,1,1
Colorado,Guatemala,,,,5,,,6,,,,,
Colorado,Honduras,,,2,,3,,,,,,,
Colorado,Iran,,,,,,,,1,3,,2,
Colorado,Iraq,,,,,,,,,2,1,,
Colorado,Moldova,,,,,2,,,,,,,
Colorado,Republic of Sou ..,,,,,,7,,,,4,,
Colorado,Rwanda,,1,,,,,,,,5,,1
Colorado,Somalia,,1,1,1,,1,1,,,,,4
Colorado,Sri Lanka ( Ceyl ..,,,,,,,,,5,,,
Colorado,Sudan,,12,,10,12,,,,1,,,
Colorado,Syria,,7,,,9,14,7,10,5,,12,8
Colorado,Turkmenistan,,,,,,,,,1,,,
Colorado,Uganda,,4,,,,,,,,,1,
Colorado,Ukraine,,,,4,,,,6,,5,,4
Colorado,Venezuela,,,,,,,,,1,,,4
Colorado,Vietnam,,,,,,,,6,,,,
Connecticut,Afghanistan,,,,,,,,4,4,,,9
Connecticut,Dem . Rep . Con ..,,7,9,,,1,8,,,8,8,15
Connecticut,El Salvador,,,,,,,,,,,,4
Connecticut,Eritrea,,,,,,,,,,,,3
Connecticut,Guatemala,,,,1,,,,,,,3,
Connecticut,Honduras,,2,,,3,,,,,,1,
Connecticut,Somalia,,,,,,,1,,,,,
Connecticut,Sudan,,,,,,,,,,,,7
Connecticut,Syria,,11,6,,,10,5,6,1,,5,
Delaware,Central African ..,,,,,,,,,,,,2
Delaware,Colombia,,,,,,,,,,,,13
Delaware,Dem . Rep . Con ..,,,,,,,,,3,,,1
Delaware,Guatemala,,,,,,,,,,,,4
Delaware,Iran,,,,1,,,,,,,,
Delaware,Sudan,5,,,1,,,,,,,5,
Delaware,Syria,,,,,,,,,5,,6,
District of Columbia,Afghanistan,,,,,,,,7,,,,
Florida,Afghanistan,,,,,,,,,1,,1,2
Florida,Burma,,2,,12,,,,,1,4,,10
Florida,Central African ..,,,,,,,,1,,,,
Florida,Colombia,,,,,,,,4,,9,14,14
Florida,Dem . Rep . Con ..,,8,,,22,32,1,,6,19,6,23
Florida,El Salvador,,,3,4,,,2,,,,,10
Florida,Eritrea,,,,,,,,1,,2,,
Florida,Guatemala,,,13,5,1,,,10,2,11,13,12
Florida,Honduras,,8,5,5,,3,5,1,4,,16,13
Florida,Iran,,,,2,1,,,,,1,,
Florida,Iraq,,1,,,,,,,,,4,
Florida,Moldova,,,,2,5,5,,8,,,3,4
Florida,Nicaragua,,,,,,,,,3,,,4
Florida,Republic of Sou ..,,2,1,,,,,,,,,1
Florida,Sudan,,11,28,11,,5,,,,7,,6
Florida,Syria,6,32,17,6,24,28,37,21,17,1,10,14
Florida,Uganda,,1,,,,,,,,,,
Florida,Ukraine,,5,,,23,,,,2,,,8
Florida,Venezuela,,,,,,,5,2,5,5,5,20
Georgia,Afghanistan,,5,,7,,4,1,2,5,,4,16
Georgia,Bhutan,,,,,4,,,,,,,
Georgia,Burma,,2,1,14,5,6,23,10,16,17,4,29
Georgia,Burundi,,,,,,5,,,,,,
Georgia,Cambodia,,,,1,,,,,4,,,
Georgia,Central African ..,,,,,,7,,14,,,5,
Georgia,Dem . Rep . Con ..,1,11,7,,7,20,28,21,4,42,24,47
Georgia,Egypt,,,,,,1,,,,,,
Georgia,El Salvador,,,,,,,,,1,,,4
Georgia,Eritrea,,,,,,,,,8,7,1,16
Georgia,Ethiopia,,1,,,,,,,4,2,5,1
Georgia,Guatemala,,13,14,,,,3,2,6,6,,9
Georgia,Honduras,,,4,,,4,,,,4,2,3
Georgia,Iran,,,2,5,5,4,,,1,,,
Georgia,Iraq,,,,,,1,,,,,,
Georgia,Moldova,,,,,,,,,,,,4
Georgia,Republic of Sou ..,,,6,,,,,,,,,
Georgia,Somalia,,,,,1,,,,,2,,7
Georgia,Sri Lanka ( Ceyl ..,,,,,,,,,,,3,
Georgia,Sudan,,13,,11,,5,4,2,,,,3
Georgia,Syria,,20,25,,6,29,11,20,15,8,10,11
Georgia,Uganda,,5,,,,1,,,1,,,
Georgia,Ukraine,4,3,,,8,,,,,6,,
Georgia,Venezuela,,,,,,,1,,,,,11
Idaho,Afghanistan,,,,,,,,1,1,7,,14
Idaho,Burma,,,,,,4,,,,,,
Idaho,Burundi,,1,,,,,,,8,,,5
Idaho,Central African ..,,,,,,,,3,,,,
Idaho,Dem . Rep . Con ..,,6,5,6,22,22,29,29,3,35,37,58
Idaho,Eritrea,,3,,,,,1,,,,6,
Idaho,Guatemala,,,,,,9,,,,,,
Idaho,Honduras,,,,,,,4,,,,,2
Idaho,Republic of Sou ..,,,,,,,,,,5,,
Idaho,Rwanda,,1,,,,,10,,,,,
Idaho,Somalia,,,3,,,,,,,,,1
Idaho,Sudan,4,6,22,18,7,,,4,2,7,10,
Idaho,Syria,,7,14,,,,,,,,5,1
Idaho,Ukraine,,,,,5,,,,,,,
Illinois,Afghanistan,,,,4,,1,2,9,3,,2,13
Illinois,Burma,,2,1,6,13,1,27,,12,3,15,68
Illinois,Burundi,,,,,,,,,2,11,,
Illinois,Central African ..,,,,,,,,2,,4,,
Illinois,Colombia,,,,,,,,,5,,5,3
Illinois,Dem . Rep . Con ..,,7,,,2,26,13,3,36,43,16,85
Illinois,El Salvador,,,,,,,,,,,,1
Illinois,Eritrea,6,,,2,,,,,,,,1
Illinois,Ethiopia,,,,,,,4,,,1,6,2
Illinois,Guatemala,,,,,4,,,12,12,3,,6
Illinois,Honduras,,,,,3,,6,,,,,1
Illinois,Iran,,2,2,,,,,,,1,,
Illinois,Iraq,,,,3,3,6,4,3,,,6,
Illinois,Moldova,,,,3,,,,,,,,2
Illinois,Somalia,,,,,,,,,,,5,
Illinois,Sri Lanka ( Ceyl ..,,,,,,,,,,,4,1
Illinois,Sudan,5,6,13,9,10,10,,5,,,9,11
Illinois,Syria,6,,9,11,11,28,23,23,34,36,10,35
Illinois,Uganda,,1,1,,,,,,,1,,
Illinois,Ukraine,,,,,3,,,,,,4,15
Illinois,Venezuela,,,,,2,,,2,2,,1,
Indiana,Afghanistan,,,,,,1,,5,5,1,2,
Indiana,Burma,,12,2,7,21,10,7,3,9,19,8,57
Indiana,Central African ..,,,,,,,,1,,,,
Indiana,Dem . Rep . Con ..,2,4,,,,44,22,17,30,37,25,102
Indiana,Eritrea,,,,,,,,3,,8,,
Indiana,Guatemala,,,,,,,,5,,,,
Indiana,Honduras,,,,,,,,,,,2,
Indiana,Iraq,,,,,,,,5,,,,
Indiana,Somalia,,,,,5,,,,,,,
Indiana,Sudan,,,,5,6,,,,3,,,
Indiana,Syria,,,4,4,,,11,4,6,,,6
Indiana,Uganda,,,,1,,,,,,,,
Indiana,Ukraine,1,,,,7,,,,,,,
Iowa,Afghanistan,,,,,,,,,2,,9,12
Iowa,Burma,,,2,,5,2,,3,4,9,5,8
Iowa,Burundi,4,,,,,,,,,,,
Iowa,Dem . Rep . Con ..,,18,11,,13,17,14,19,39,70,26,68
Iowa,El Salvador,,,,,,,,1,,,,
Iowa,Eritrea,,,,13,1,,,,,4,,12
Iowa,Ethiopia,,,,,,,,,,,,3
Iowa,Guatemala,,,,,,,4,,,2,5,7
Iowa,Honduras,,2,,,,,,,,,,
Iowa,Nepal,,,,,,,1,,,,,
Iowa,Republic of Sou ..,,,,,,2,,,,,3,
Iowa,Somalia,,,,,,,,4,1,,,
Iowa,Sudan,,10,22,4,4,5,,,,,7,20
Iowa,Syria,,,,,,,,,4,,,
Kansas,Afghanistan,,,,,,,,,,1,,1
Kansas,Burma,,,5,5,1,,,,,4,,
Kansas,China,,,,,,,,,,,,1
Kansas,Dem . Rep . Con ..,,16,,,7,35,11,21,5,21,15,71
Kansas,El Salvador,,1,,,4,,,,,,2,
Kansas,Eritrea,,,,,,1,,,,,4,
Kansas,Republic of Sou ..,,,6,,,,,,,,,
Kansas,Somalia,,,,,,1,1,1,,,,3
Kansas,Sudan,,9,4,9,4,13,9,,,,,
Kansas,Syria,,7,,9,,,,8,23,,,
Kentucky,Afghanistan,,,,,,,1,5,,,,8
Kentucky,Burma,1,4,,,10,5,1,,,4,8,21
Kentucky,Burundi,,,1,,,,,,,,,13
Kentucky,Cameroon,,,,,,,,,,,,1
Kentucky,Dem . Rep . Con ..,9,49,11,,85,93,57,62,74,142,93,244
Kentucky,Eritrea,,,,,2,,,,,,,
Kentucky,Ethiopia,,,,,,,,,,3,,
Kentucky,Iran,,,,,,,,,5,,,
Kentucky,Republic of Sou ..,,,,,1,,,,,,1,
Kentucky,Rwanda,7,,,,,1,,,,,,
Kentucky,Somalia,,4,,,1,,9,,1,2,,
Kentucky,Sudan,,7,13,2,,8,3,,,5,,
Kentucky,Syria,,14,,8,11,37,37,37,6,5,,19
Kentucky,Ukraine,,,,,6,,,4,,,,14
Louisiana,Afghanistan,,,,,,,1,,,,,
Louisiana,Dem . Rep . Con ..,,,,,,,,,,,,4
Louisiana,Guatemala,,,3,,,,,,,,,6
Louisiana,Honduras,,,,,,,,,,,,8
Maine,Afghanistan,,,,,,,,,1,,,
Maine,Burundi,,,,,,,,,1,,,
Maine,Dem . Rep . Con ..,,,,,,7,15,7,1,,,2
Maine,Iraq,,,,,,,,,,,,1
Maine,Ivory Coast,,,,,,,,,1,,,
Maine,Somalia,,,,,,1,1,,1,,,
Maine,Sudan,,,14,5,4,,,,,,,
Maine,Syria,,,,,,6,4,8,4,6,1,12
Maryland,Afghanistan,,,,,,,6,10,5,4,9,25
Maryland,Armenia,,,,,,,,,,,1,
Maryland,Burma,,,3,5,14,4,,2,1,11,,4
Maryland,Burundi,,,,,,6,,,,,,
Maryland,Central African ..,,,,,,,,6,1,1,3,
Maryland,Colombia,,,,,,,,,3,,2,
Maryland,Dem . Rep . Con ..,,,,,3,10,8,,,30,,1
Maryland,El Salvador,1,8,6,3,4,6,6,21,4,,14,13
Maryland,Eritrea,4,5,,,,,,,,,,3
Maryland,Ethiopia,,2,7,,,,,,5,3,6,
Maryland,Guatemala,,5,,7,,1,,4,1,,10,5
Maryland,Honduras,,2,,3,,3,8,,,,6,
Maryland,Iran,,3,,,,,,,,,,
Maryland,Iraq,,,,,,,,,4,,,2
Maryland,Republic of Sou ..,,6,18,,,,,,1,,,
Maryland,Sudan,1,3,2,12,7,,,6,5,4,,9
Maryland,Syria,,4,3,6,,10,7,14,4,,,
Maryland,Uganda,,,,,,1,,,,,,
Maryland,Ukraine,,,,,6,,6,,,,,
Massachusetts,Afghanistan,5,2,,,,,6,7,,,1,7
Massachusetts,Burma,,,,2,,2,1,,,,,1
Massachusetts,Central African ..,,,,,,,,,1,2,,
Massachusetts,Colombia,,,,,,,,,,,4,
Massachusetts,Dem . Rep . Con ..,,1,,6,13,2,2,5,6,25,,105
Massachusetts,El Salvador,,,1,10,2,3,1,,,,,
Massachusetts,Eritrea,,,,,,,,,,,1,
Massachusetts,Guatemala,,4,,5,1,,1,,2,,9,19
Massachusetts,Honduras,,3,,3,,9,9,,2,5,,
Massachusetts,Iran,,,1,,,,,,,,,
Massachusetts,Iraq,11,,,,,,,,,2,6,5
Massachusetts,Jordan,,,1,,,,,,,,,
Massachusetts,Moldova,2,,,,,,,1,,2,15,5
Massachusetts,Republic of Sou ..,,3,,,,,,,,,,2
Massachusetts,Somalia,,,1,3,1,,2,1,5,1,,
Massachusetts,Sudan,,1,6,,6,,,1,,2,,
Massachusetts,Syria,,8,,,9,11,4,5,13,16,4,6
Massachusetts,Uganda,,3,,,1,,,,1,,,
Massachusetts,Ukraine,,,7,,11,,6,6,3,,,16
Michigan,Afghanistan,3,,,,,,1,3,10,3,,16
Michigan,Burma,,,1,,,,12,,,,1,16
Michigan,Burundi,8,,,,,,,,4,,,
Michigan,Central African ..,,,,,,,,6,2,,1,
Michigan,Colombia,,,,,,,,5,,3,4,
Michigan,Dem . Rep . Con ..,,31,,3,23,69,30,17,21,43,29,61
Michigan,Egypt,,,,,,,,5,,,,
Michigan,El Salvador,,,,,,,,,,,,10
Michigan,Eritrea,,2,,,,,,,,9,,8
Michigan,Guatemala,,,,,,5,,,1,,10,7
Michigan,Honduras,,,,,,,,,,5,,6
Michigan,India,,,,,,,,,,1,,
Michigan,Iran,,,,,,,,,1,,2,
Michigan,Iraq,1,6,5,4,11,4,5,,14,16,5,25
Michigan,Mali,,,,,,,,,,,1,
Michigan,Palestine,,,,,,,,,,,,1
Michigan,Republic of Sou ..,,,5,,5,,,1,4,,1,
Michigan,Rwanda,,2,,,1,,,,,,,
Michigan,Somalia,,,,1,,,1,,,,,2
Michigan,Sudan,,,,5,,1,,4,,7,,16
Michigan,Syria,,23,42,46,14,54,84,45,43,18,15,62
Michigan,Uganda,,1,,,,,,,,,,
Michigan,Ukraine,,,,,9,,,,,5,,
Michigan,Venezuela,,,,,,,,,,,2,
Michigan,Yemen,,,,,,,,3,,8,,
Minnesota,Afghanistan,,,,,,,2,,8,,,8
Minnesota,Bhutan,,,,,3,,,,,,,
Minnesota,Burma,,,4,9,8,3,,9,,,5,5
Minnesota,Dem . Rep . Con ..,,5,,10,1,2,1,5,16,10,,5
Minnesota,El Salvador,3,8,,,,,1,,3,,,2
Minnesota,Eritrea,,,,,10,,,,,,,
Minnesota,Ethiopia,,8,3,,,1,3,5,26,23,24,4
Minnesota,Guatemala,,1,3,7,3,,5,3,,1,3,
Minnesota,Iran,,,,,,2,,1,,,,
Minnesota,Iraq,,,6,,,,,,,,,
Minnesota,Moldova,,,,,6,,,,3,,10,6
Minnesota,Republic of Sou ..,2,2,,,,,,,,,,
Minnesota,Rwanda,,,,,,,,,,,,2
Minnesota,Somalia,2,15,8,1,13,14,9,14,13,6,5,28
Minnesota,Sudan,,8,,5,,,,5,,,,
Minnesota,Syria,,12,21,4,,5,4,,,,,
Minnesota,Ukraine,6,,,,9,,,,14,,3,
Mississippi,Guatemala,,,,,,3,,,,,,
Missouri,Afghanistan,1,,,,,,3,,4,,2,
Missouri,Burma,,,,,1,,,,,,7,4
Missouri,Burundi,,,,,,,,,,,,7
Missouri,Dem . Rep . Con ..,,12,14,7,15,21,29,14,22,69,27,81
Missouri,El Salvador,,,,,1,,,,,,,2
Missouri,Eritrea,,,,,,2,,,,,,2
Missouri,Ethiopia,,,,,,,,,,2,,
Missouri,Guatemala,,,,,4,,,3,3,,,
Missouri,Iraq,,,,,7,,,6,,1,,
Missouri,Moldova,3,,,,,,,4,,,4,6
Missouri,Republic of Sou ..,8,,11,,,,,,,,,
Missouri,Somalia,3,,,,,2,,,,1,2,
Missouri,Sudan,,21,13,1,14,,,,,10,,14
Missouri,Syria,,5,9,8,14,,,,5,6,4,
Missouri,Ukraine,,,,10,10,,22,3,13,,,7
Montana,Burma,,,,3,,,,,,,,
Montana,Dem . Rep . Con ..,,,,,,6,,,,,5,
Montana,Syria,,,,,11,16,,,,,,6
Nebraska,Afghanistan,1,,,,,,6,2,,6,1,7
Nebraska,Burma,2,,,,2,5,,,9,,,12
Nebraska,Burundi,,,,,,,,,,,,6
Nebraska,Dem . Rep . Con ..,,,,,2,4,4,4,19,4,15,19
Nebraska,El Salvador,,,,,,,3,,,5,,
Nebraska,Ethiopia,,,,,,,,,,,1,
Nebraska,Guatemala,,,,,,,3,,,,,
Nebraska,Iran,,,,,,,,,4,,,
Nebraska,Iraq,,,,,,,6,,,,,
Nebraska,Republic of Sou ..,,,7,,,,,,,7,10,
